Substructure,Frequency0,OccurrenceList0
[CH2:3][CH2:4][c:5][cH:10][cH:9][cH:8],1,"0,0,0,1,0"
[CH2:4][c:5]([cH:6][cH:7])[cH:10][cH:9],1,"0,0,0,1,0"
[CH2:4][c:5]([cH:6])[cH:10][cH:9][cH:8],1,"0,0,0,1,0"
[CH2:4][c:5]([cH:6][cH:7][cH:8])[cH:10],1,"0,0,0,1,0"
[CH2:4][c:5][cH:6][cH:7][cH:8][cH:9],1,"0,0,0,1,0"
[CH2:4][c:5][cH:10][cH:9][cH:8][cH:7],1,"0,0,0,1,0"
[c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1,1,"0,0,0,1,0"
O=[C:1]([OH:2])[CH2:3][CH2:4][c:5]([cH:6][cH:7])[cH:10],1,"0,0,0,1,0"
O=[C:1]([OH:2])[CH2:3][CH2:4][c:5]([cH:6])[cH:10][cH:9],1,"0,0,0,1,0"
O=[C:1]([OH:2])[CH2:3][CH2:4][c:5][cH:6][cH:7][cH:8],1,"0,0,0,1,0"
O=[C:1]([OH:2])[CH2:3][CH2:4][c:5][cH:10][cH:9][cH:8],1,"0,0,0,1,0"
[CH2:3][CH2:4][c:5]([cH:6][cH:7][cH:8])[cH:10],1,"0,0,0,1,0"
[CH2:3][CH2:4][c:5]([cH:6][cH:7])[cH:10][cH:9],1,"0,0,0,1,0"
[CH2:3][CH2:4][c:5]([cH:6])[cH:10][cH:9][cH:8],1,"0,0,0,1,0"
[CH2:3][CH2:4][c:5][cH:6][cH:7][cH:8][cH:9],1,"0,0,0,1,0"
[CH2:3][CH2:4][c:5][cH:10][cH:9][cH:8][cH:7],1,"0,0,0,1,0"
[CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1,1,"0,0,0,1,0"
O=[C:1]([OH:2])[CH2:3][CH2:4][c:5]([cH:6][cH:7][cH:8])[cH:10],1,"0,0,0,1,0"
O=[C:1]([OH:2])[CH2:3][CH2:4][c:5]([cH:6][cH:7])[cH:10][cH:9],1,"0,0,0,1,0"
O=[C:1]([OH:2])[CH2:3][CH2:4][c:5]([cH:6])[cH:10][cH:9][cH:8],1,"0,0,0,1,0"
O=[C:1]([OH:2])[CH2:3][CH2:4][c:5][cH:6][cH:7][cH:8][cH:9],1,"0,0,0,1,0"
O=[C:1]([OH:2])[CH2:3][CH2:4][c:5][cH:10][cH:9][cH:8][cH:7],1,"0,0,0,1,0"
[CH2:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1,1,"0,0,0,1,0"
O=[C:1]([OH:2])[CH2:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1,1,"0,0,0,1,0"
O[CH2:1],1,"0,0,0,0,1"
[CH:2][O:3],1,"0,0,0,0,1"
[CH:4][O:5],1,"0,0,0,0,1"
[O:5][CH:6],1,"0,0,0,0,1"
[CH:7][O:10],1,"0,0,0,0,1"
[CH2:8][OH:9],1,"0,0,0,0,1"
[CH:11][OH:12],1,"0,0,0,0,1"
[CH:13][OH:14],1,"0,0,0,0,1"
[CH:15][OH:16],1,"0,0,0,0,1"
[CH:17][OH:18],1,"0,0,0,0,1"
[CH:19][OH:20],1,"0,0,0,0,1"
[CH:21][OH:22],1,"0,0,0,0,1"
O[CH2:1][CH:2][O:3],1,"0,0,0,0,1"
[CH:2]([O:3])[CH:21][OH:22],1,"0,0,0,0,1"
[CH:2][O:3][CH:4][O:5],1,"0,0,0,0,1"
[CH:4]([O:5])[CH:17][OH:18],1,"0,0,0,0,1"
[CH:4][O:5][CH:6],1,"0,0,0,0,1"
[O:5][CH:6][CH:7][O:10],1,"0,0,0,0,1"
[O:5][CH:6][CH:15][OH:16],1,"0,0,0,0,1"
[CH:7]([CH2:8][OH:9])[O:10],1,"0,0,0,0,1"
[CH:7][O:10][CH:11][OH:12],1,"0,0,0,0,1"
[CH:11]([OH:12])[CH:13][OH:14],1,"0,0,0,0,1"
[CH:13]([OH:14])[CH:15][OH:16],1,"0,0,0,0,1"
[CH:17]([OH:18])[CH:19][OH:20],1,"0,0,0,0,1"
[CH:19]([OH:20])[CH:21][OH:22],1,"0,0,0,0,1"
O[CH2:1][CH:2]([O:3])[CH:21][OH:22],1,"0,0,0,0,1"
O[CH2:1][CH:2][O:3][CH:4][O:5],1,"0,0,0,0,1"
[CH:2]([O:3][CH:4][O:5])[CH:21][OH:22],1,"0,0,0,0,1"
[CH:2]([O:3])[CH:21]([CH:19][OH:20])[OH:22],1,"0,0,0,0,1"
[CH:2][O:3][CH:4]([O:5])[CH:17][OH:18],1,"0,0,0,0,1"
[CH:2][O:3][CH:4][O:5][CH:6],1,"0,0,0,0,1"
[CH:4]([O:5])[CH:17]([OH:18])[CH:19][OH:20],1,"0,0,0,0,1"
[CH:4]([O:5][CH:6])[CH:17][OH:18],1,"0,0,0,0,1"
[CH:4][O:5][CH:6][CH:7][O:10],1,"0,0,0,0,1"
[CH:4][O:5][CH:6][CH:15][OH:16],1,"0,0,0,0,1"
[O:5][CH:6]([CH:7][O:10])[CH:15][OH:16],1,"0,0,0,0,1"
[O:5][CH:6][CH:7]([CH2:8][OH:9])[O:10],1,"0,0,0,0,1"
[O:5][CH:6][CH:7][O:10][CH:11][OH:12],1,"0,0,0,0,1"
[O:5][CH:6][CH:15]([CH:13][OH:14])[OH:16],1,"0,0,0,0,1"
[CH:7]([CH2:8][OH:9])[O:10][CH:11][OH:12],1,"0,0,0,0,1"
[CH:7][O:10][CH:11]([OH:12])[CH:13][OH:14],1,"0,0,0,0,1"
[CH:11]([OH:12])[CH:13]([OH:14])[CH:15][OH:16],1,"0,0,0,0,1"
[CH:17]([OH:18])[CH:19]([OH:20])[CH:21][OH:22],1,"0,0,0,0,1"
O[CH2:1][CH:2]([O:3][CH:4][O:5])[CH:21][OH:22],1,"0,0,0,0,1"
O[CH2:1][CH:2]([O:3])[CH:21]([CH:19][OH:20])[OH:22],1,"0,0,0,0,1"
O[CH2:1][CH:2][O:3][CH:4]([O:5])[CH:17][OH:18],1,"0,0,0,0,1"
O[CH2:1][CH:2][O:3][CH:4][O:5][CH:6],1,"0,0,0,0,1"
[CH:2]([O:3][CH:4]([O:5])[CH:17][OH:18])[CH:21][OH:22],1,"0,0,0,0,1"
[CH:2]([O:3][CH:4][O:5][CH:6])[CH:21][OH:22],1,"0,0,0,0,1"
[CH:2]([O:3][CH:4][O:5])[CH:21]([CH:19][OH:20])[OH:22],1,"0,0,0,0,1"
[CH:2]([O:3])[CH:21]([CH:19]([CH:17][OH:18])[OH:20])[OH:22],1,"0,0,0,0,1"
[CH:2][O:3][CH:4]([O:5])[CH:17]([OH:18])[CH:19][OH:20],1,"0,0,0,0,1"
[CH:2][O:3][CH:4]([O:5][CH:6])[CH:17][OH:18],1,"0,0,0,0,1"
[CH:2][O:3][CH:4][O:5][CH:6][CH:7][O:10],1,"0,0,0,0,1"
[CH:2][O:3][CH:4][O:5][CH:6][CH:15][OH:16],1,"0,0,0,0,1"
[CH:4]([O:5])[CH:17]([OH:18])[CH:19]([OH:20])[CH:21][OH:22],1,"0,0,0,0,1"
[CH:4]([O:5][CH:6])[CH:17]([OH:18])[CH:19][OH:20],1,"0,0,0,0,1"
[CH:4]([O:5][CH:6][CH:7][O:10])[CH:17][OH:18],1,"0,0,0,0,1"
[CH:4]([O:5][CH:6][CH:15][OH:16])[CH:17][OH:18],1,"0,0,0,0,1"
[CH:4][O:5][CH:6]([CH:7][O:10])[CH:15][OH:16],1,"0,0,0,0,1"
[CH:4][O:5][CH:6][CH:7]([CH2:8][OH:9])[O:10],1,"0,0,0,0,1"
[CH:4][O:5][CH:6][CH:7][O:10][CH:11][OH:12],1,"0,0,0,0,1"
[CH:4][O:5][CH:6][CH:15]([CH:13][OH:14])[OH:16],1,"0,0,0,0,1"
[O:5][CH:6]([CH:7][O:10])[CH:15]([CH:13][OH:14])[OH:16],1,"0,0,0,0,1"
[O:5][CH:6]([CH:7]([CH2:8][OH:9])[O:10])[CH:15][OH:16],1,"0,0,0,0,1"
[O:5][CH:6]([CH:7][O:10][CH:11][OH:12])[CH:15][OH:16],1,"0,0,0,0,1"
[O:5][CH:6][CH:7]([CH2:8][OH:9])[O:10][CH:11][OH:12],1,"0,0,0,0,1"
[O:5][CH:6][CH:7][O:10][CH:11]([OH:12])[CH:13][OH:14],1,"0,0,0,0,1"
[O:5][CH:6][CH:15]([CH:13]([CH:11][OH:12])[OH:14])[OH:16],1,"0,0,0,0,1"
[CH:7]([CH2:8][OH:9])[O:10][CH:11]([OH:12])[CH:13][OH:14],1,"0,0,0,0,1"
[CH:7][O:10][CH:11]([OH:12])[CH:13]([OH:14])[CH:15][OH:16],1,"0,0,0,0,1"
O[CH2:1][CH:2]([O:3][CH:4]([O:5])[CH:17][OH:18])[CH:21][OH:22],1,"0,0,0,0,1"
O[CH2:1][CH:2]([O:3][CH:4][O:5][CH:6])[CH:21][OH:22],1,"0,0,0,0,1"
O[CH2:1][CH:2]([O:3][CH:4][O:5])[CH:21]([CH:19][OH:20])[OH:22],1,"0,0,0,0,1"
O[CH2:1][CH:2]([O:3])[CH:21]([CH:19]([CH:17][OH:18])[OH:20])[OH:22],1,"0,0,0,0,1"
O[CH2:1][CH:2][O:3][CH:4]([O:5][CH:6])[CH:17][OH:18],1,"0,0,0,0,1"
O[CH2:1][CH:2][O:3][CH:4]([O:5])[CH:17]([OH:18])[CH:19][OH:20],1,"0,0,0,0,1"
O[CH2:1][CH:2][O:3][CH:4][O:5][CH:6][CH:7][O:10],1,"0,0,0,0,1"
O[CH2:1][CH:2][O:3][CH:4][O:5][CH:6][CH:15][OH:16],1,"0,0,0,0,1"
[CH:2]1[O:3][CH:4]([O:5])[CH:17]([OH:18])[CH:19]([OH:20])[CH:21]1[OH:22],1,"0,0,0,0,1"
[CH:2]([O:3][CH:4]([O:5][CH:6])[CH:17][OH:18])[CH:21][OH:22],1,"0,0,0,0,1"
[CH:2]([O:3][CH:4][O:5][CH:6])[CH:21]([CH:19][OH:20])[OH:22],1,"0,0,0,0,1"
