,Substructure,Frequency0,Frequency1,Frequency2
277,OCOC(CO)COCOC(CO)C(O)CO,0.0,1.0,0.0
278,OCC(O)OCCOCOC(CO)C(O)CO,0.0,1.0,0.0
279,OCOC(CO)C(CO)OCOC(CO)CO,0.0,1.0,0.0
280,OCC(CO)OCOC(C(O)CO)C(O)CO,0.0,1.0,0.0
281,OCC(CO)OCOC1COC(O)C(O)C1O,0.0,1.0,0.0
282,OCC(O)OC(CO)COCOC(CO)CO,0.0,1.0,0.0
283,OCC(O)C(O)COCOC(CO)C(O)CO,0.0,1.0,0.0
284,OCCOC(OC(CO)C(O)CO)C(O)CO,0.0,1.0,0.0
285,OCCOC(OC(CO)COCO)C(O)CO,0.0,1.0,0.0
286,OCCOC(OCC(CO)OCO)C(O)CO,0.0,1.0,0.0
287,OCCOC(OCCOC(O)CO)C(O)CO,0.0,1.0,0.0
288,OCCOC(CO)OC(CO)C(CO)OCO,0.0,1.0,0.0
289,OCCOC(CO)OC(C(O)CO)C(O)CO,0.0,1.0,0.0
290,OCCOC(CO)OC1COC(O)C(O)C1O,0.0,1.0,0.0
291,OCCOC(CO)OCC(CO)OC(O)CO,0.0,1.0,0.0
292,OCCOC(OCC(O)C(O)CO)C(O)CO,0.0,1.0,0.0
293,OCCOCOC1C(CO)OC(O)C(O)C1O,0.0,1.0,0.0
294,OCC(O)C(CO)OC1OCC(O)C(O)C1O,0.0,1.0,0.0
295,OCOCC(CO)OC1OCC(O)C(O)C1O,0.0,1.0,0.0
296,OCOC(CO)COC1OCC(O)C(O)C1O,0.0,1.0,0.0
297,OCC(O)OCCOC1OCC(O)C(O)C1O,0.0,1.0,0.0
298,OCC(O)C(O)COC1OCC(O)C(O)C1O,0.0,1.0,0.0
299,OCOC(CO)C(CO)OCOCC(O)CO,0.0,1.0,0.0
300,OCC(O)COCOC(C(O)CO)C(O)CO,0.0,1.0,0.0
301,OCC(O)COCOC1COC(O)C(O)C1O,0.0,1.0,0.0
302,OCC(O)COCOCC(CO)OC(O)CO,0.0,1.0,0.0
303,COC(OC(CO)C(CO)OCO)C(O)CO,0.0,1.0,0.0
304,COC(OC(C(O)CO)C(O)CO)C(O)CO,0.0,1.0,0.0
305,COC(OC1COC(O)C(O)C1O)C(O)CO,0.0,1.0,0.0
306,COC(OCC(CO)OC(O)CO)C(O)CO,0.0,1.0,0.0
307,COC(CO)OC1C(CO)OC(O)C(O)C1O,0.0,1.0,0.0
308,OCOC(CO)C(CO)OCC(O)C(O)CO,0.0,1.0,0.0
309,OCC(O)C(O)COC(C(O)CO)C(O)CO,0.0,1.0,0.0
310,OCC(O)C(O)COC1COC(O)C(O)C1O,0.0,1.0,0.0
311,OCC(O)OC(CO)COCC(O)C(O)CO,0.0,1.0,0.0
312,OCC(O)COC1C(CO)OC(O)C(O)C1O,0.0,1.0,0.0
313,OCC(O)C(CO)OC1OC(CO)C(O)C(O)C1O,0.0,1.0,0.0
