smiles,group
CCC1OC(=O)C(C)C2OC(C)(CC(C)CN(C(=O)Nc3ccc(Cl)cc3Cl)C(C)C(O)C1(C)O)C(OC1OC(C)CC(N(C)C)C1O)C2C,not-antibacterial
COc1cc(OC)c(C2COc3c(cc(C=CC(=O)c4cc(OC)c(OC)c(OC)c4)c4c3C=CC(C)(C)O4)C2)cc1C=CC(=O)c1cc(OC)c(OC)c(OC)c1,not-antibacterial
O=C1CSC(=NN=Cc2ccco2)N1Cc1ccc([N+](=O)[O-])cc1,not-antibacterial
CCCCCCCCOCC1OC(O)C(O)C(O)C1O,not-antibacterial
CC1(CO)CCCC2(C)C1CCC1(C)C2CC(O)C2(C)C3COC(=O)C3=CCC12,not-antibacterial
COC(=O)CCC=CC(O)CC=CC=CC=CC=CC=CC(O)C(C)CO,not-antibacterial
CCOP(=O)(OCC)C(Nc1ncccn1)c1ccc(F)cc1,not-antibacterial
CCCCCCCCCCCCCCCC(=O)NC(C)CN(CC(=O)NC(C)CN(CC(=O)NC(CCC(=O)O)CN(CC(=O)NC(CCC(=O)O)CN(CC(=O)NC(CCC(=O)O)CN(CC(N)=O)C(=O)CC(=O)O)C(=O)CC(=O)O)C(=O)CC(=O)O)C(C)=O)C(C)=O,not-antibacterial
O=[N+]([O-])c1cccc(C2C3=C(N=C4SC=C(c5ccc(Cl)cc5)N42)c2ccccc2SC3)c1,not-antibacterial
NCC1OC(OC2C(N)CC(N)C(O)C2O)C(N)C(OCc2ccc3ccccc3c2)C1O,not-antibacterial
CC(=O)OCC1OC(Oc2cc(O)c3c(=O)c(OC4OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C4OC(C)=O)c(-c4ccc(O)c(O)c4)oc3c2)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,not-antibacterial
CC(c1ccc(N2CCN(c3ccccc3)CC2)cc1)N(O)C(=O)c1ccccc1-c1ccccc1C(=O)O,not-antibacterial
CC(=O)Nc1ccc(C(=O)C=Cc2ccc(C=O)cc2)cc1,not-antibacterial
CCOC(=O)C(C(=O)C(C)(C)C)=P(c1ccccc1)(c1ccccc1)c1ccccc1,not-antibacterial
Cc1cc(=O)oc2cc(Oc3nc(Nc4ccc(N=Cc5ccc([N+](=O)[O-])cc5)cc4)nc(N(C)C)n3)ccc12,not-antibacterial
CCOC(=O)c1ccc(NC(=O)c2cc3cc(Br)cc(Br)c3oc2=O)cc1,not-antibacterial
CC1(C)OC2OC3COB(c4cccc(N)c4)OC3C2O1,not-antibacterial
CCCCCCCCCCCC(=O)NC(CCCCN)CN(CC(N)=O)C(=O)CCCN,not-antibacterial
NC(=O)CC1NC(=O)C(N)C(O)c2ccc(c(Cl)c2)Oc2cc3cc(c2O)Oc2ccc(cc2)C(O)C2NC(=O)C(NC(=O)C3NC1=O)c1ccc(O)c(c1)-c1c(O)cc(O)cc1C(C(=O)O)NC2=O,not-antibacterial
CC(C)=CC(C(=O)O)C(C)=CCCC(C)=CCCC1(C)CCc2cc(O)cc(C)c2O1,not-antibacterial
COc1ccc(C(=O)CSc2nc(C)c(C)n2Nc2ccc(C)cc2)cc1OC,not-antibacterial
COc1ccc2[nH]c3c(c2c1)CCN=C3c1ccccc1,not-antibacterial
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC.O=C(O)C1CCCCC1C(=O)O,not-antibacterial
Cc1nnsc1C(=O)NNC(=S)Nc1cccc(F)c1,not-antibacterial
Cc1c2c3ccccc3nc-2n(C)c2ccccc12,not-antibacterial
COc1cc(-n2cc(COc3cccc(-n4c(C)nc5ccccc5c4=O)c3)nn2)cc(OC)c1OC,not-antibacterial
COC(=O)c1ccc(CN2CCc3c(sc(NC(=O)c4cc(OCCNC(=O)C(F)(F)F)ccc4Cl)c3C#N)C2)cc1,not-antibacterial
Cc1ccc2nc(Cl)c(-c3c(C#N)c(N)nc(Sc4ccccc4)c3C#N)cc2c1,not-antibacterial
COc1ccc2nc(Oc3ccc(C)cc3)c(C3C(C#N)=C(N)OC4=C3C(=O)CC(C)(C)C4)cc2c1,not-antibacterial
CC(C=CC=CC(O)CC(O)CC1=C(C)C(=O)C(C)(O)N1CCO)=CC=CC(C)C(O)C(C)CCc1ccccc1,not-antibacterial
C=CCCCCCCCCC(=O)Oc1ccc2ccc(=O)oc2c1,not-antibacterial
O=C1c2cccnc2C(=O)c2c1c(C(=O)N1CCSCC1)c1ccc(Br)cn21,not-antibacterial
COc1ccc(C(=O)C=Cc2cc(C3COc4c(cc(C=CC(=O)c5ccc(OC)cc5)c5c4C=CC(C)(C)O5)C3)c(OC)cc2OC)cc1,not-antibacterial
CCC(C)Oc1ccc(F)c(C(N)=O)c1F,not-antibacterial
CCCCCCCCCCCC(=O)NC(CCCCN)CN(CC(N)=O)C(=O)CCCN,not-antibacterial
CC(=NNC(=O)c1nc(C(C)C)cs1)c1ccc(C)cc1,not-antibacterial
O=C1CSC(=NN=Cc2ccc3c(c2)OCO3)N1,not-antibacterial
CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)CN(C)C(C)C(O)C1(C)O,not-antibacterial
