Substructure,Frequency1,OccurrenceList1
CC(=O)NC(C(=O)O)C(C)C,2,"1,0,1,0"
CC(C)C(C(=O)O)N(C)C=O,2,"1,0,1,0"
CC(C)CNCCN,2,"1,0,1,0"
CCNC(C(=O)O)C(C)C,2,"1,0,1,0"
CC1CNC(CN)S1,2,"1,0,1,0"
CC1CN2C(=O)CC2S1,2,"1,0,1,0"
CC1NC(C(=O)O)C(C)S1,2,"1,0,1,0"
CC(CC(=O)O)SCCN,2,"1,0,1,0"
CC(CC(=O)O)SCCC=O,2,"1,0,1,0"
CC1SCN(C=O)C1C(=O)O,2,"1,0,1,0"
CC(S)CNC(=O)CN,2,"1,0,1,0"
CC(=O)NC(C(=O)O)C(C)S,2,"1,0,1,0"
CCSC1NC(=O)C1N,3,"1,1,1,0"
CCSC(N)CNC=O,3,"1,1,1,0"
CCSCC(C=O)NC=O,3,"1,1,1,0"
CCSCCNC(C)=O,3,"1,1,1,0"
CCCN1CC(N)C1=O,2,"1,0,1,0"
CCC(C(=O)O)N1CCC1=O,2,"1,0,1,0"
CCCNC(=O)CNC=O,2,"1,0,1,0"
CCC(NC(=O)CN)C(=O)O,2,"1,0,1,0"
CCCNCCNC=O,2,"1,0,1,0"
CCC(NCCN)C(=O)O,2,"1,0,1,0"
NC1C(=O)N2CCSC12,2,"1,0,1,0"
O=CNCC1NCCS1,2,"1,0,1,0"
NCC1NC(C(=O)O)CS1,2,"1,0,1,0"
O=C(O)C1CSC2CC(=O)N21,2,"1,0,1,0"
NC(C=O)CSCCC(=O)O,2,"1,0,1,0"
O=CNCCSCCC(=O)O,2,"1,0,1,0"
O=CNCC(=O)NCCS,2,"1,0,1,0"
NCC(=O)NC(CS)C(=O)O,2,"1,0,1,0"
CSC1NC(=O)C1NC=O,3,"1,1,1,0"
CSC(N)CNC(C)=O,3,"1,1,1,0"
CSCC(C=O)NC(C)=O,3,"1,1,1,0"
CSCCNC(=O)CN,2,"1,1,0,0"
cCC(=O)NCCSC,3,"1,1,1,0"
CCN1CC(NC=O)C1=O,2,"1,0,1,0"
CC(C(=O)O)N1CC(N)C1=O,2,"1,0,1,0"
CCNC(=O)CNC(C)=O,2,"1,0,1,0"
CC(NC(=O)CNC=O)C(=O)O,2,"1,0,1,0"
CCNCCNC(C)=O,2,"1,0,1,0"
CC(NCCNC=O)C(=O)O,2,"1,0,1,0"
CC(=O)NC1C(=O)NC1S,3,"1,1,1,0"
CN1C(=O)C(NC=O)C1S,3,"1,1,1,0"
NC1C(=O)N(CC(=O)O)C1S,3,"1,1,1,0"
NCC(=O)NCC(N)S,2,"1,1,0,0"
cCC(=O)NCC(N)S,3,"1,1,1,0"
CNC(S)CNC(C)=O,3,"1,1,1,0"
O=CNCC(S)NCC(=O)O,3,"1,1,1,0"
NCC(=O)NC(C=O)CS,2,"1,1,0,0"
cCC(=O)NC(C=O)CS,3,"1,1,1,0"
cC(N)C(=O)NCCS,2,"1,1,0,0"
ccCC(=O)NCCS,3,"1,1,1,0"
NCC(=O)NC1CNC1=O,2,"1,1,0,0"
cCC(=O)NC1CNC1=O,3,"1,1,1,0"
CC(=O)NC1CN(C)C1=O,2,"1,0,1,0"
O=CNC1CN(CC(=O)O)C1=O,3,"1,1,1,0"
cC(N)C(=O)NCCN,2,"1,1,0,0"
CNCCNC(=O)CN,2,"1,1,0,0"
ccCC(=O)NCCN,3,"1,1,1,0"
cCC(=O)NCCNC,3,"1,1,1,0"
CC(=O)NCCNCC(=O)O,3,"1,1,1,0"
cC(N)C(=O)NC(C)C=O,2,"1,1,0,0"
ccCC(=O)NC(C)C=O,3,"1,1,1,0"
ccC(N)C(=O)NCC,2,"1,1,0,0"
cc(c)CC(=O)NCC,3,"1,1,1,0"
cccCC(=O)NCC,3,"1,1,1,0"
ccC(N)C(=O)NCC=O,2,"1,1,0,0"
cC(N)C(=O)NCC(N)=O,2,"1,1,0,0"
CNC(=O)CNC(=O)CN,2,"1,1,0,0"
cc(c)CC(=O)NCC=O,3,"1,1,1,0"
cccCC(=O)NCC=O,3,"1,1,1,0"
ccCC(=O)NCC(N)=O,3,"1,1,1,0"
cCC(=O)NCC(=O)NC,3,"1,1,1,0"
CC(=O)NCC(=O)NCC(=O)O,3,"1,1,1,0"
cc(c)C(N)C(=O)NC,2,"1,1,0,0"
cccC(N)C(=O)NC,2,"1,1,0,0"
ccc(c)CC(=O)NC,3,"1,1,1,0"
CNC(=O)CccccO,1,"1,0,0,0"
ccc(c)C(N)C(N)=O,2,"1,1,0,0"
NC(=O)C(N)ccccO,1,"1,0,0,0"
cc(cccO)CC(N)=O,1,"1,0,0,0"
ccc(cc)CC(N)=O,3,"1,1,1,0"
cc(O)cccCC(N)=O,1,"1,0,0,0"
cc(cccO)C(N)C=O,1,"1,0,0,0"
ccc(cc)C(N)C=O,2,"1,1,0,0"
cc(O)cccC(N)C=O,1,"1,0,0,0"
O=CCc1ccc(O)cc1,1,"1,0,0,0"
NCc1ccc(O)cc1,1,"1,0,0,0"
CC1(C)CNC(CN)S1,2,"1,0,1,0"
CC1(C)CN2C(=O)CC2S1,2,"1,0,1,0"
CC1NC(C(=O)O)C(C)(C)S1,2,"1,0,1,0"
CC(C)(C)SCC(N)C=O,2,"1,0,1,0"
CC(C)(C)SCCNC=O,2,"1,0,1,0"
CC(C)(CC(=O)O)SCCN,2,"1,0,1,0"
CC(C)(CC(=O)O)SCCC=O,2,"1,0,1,0"
