Substructure,Frequency,Percentage0
CCOC(O)C(C)O,1,20.0
CCOC(CC)OC,1,20.0
CCOC(CO)OC,1,20.0
CCOC(C)OCC,1,20.0
CCCOCOCC,1,20.0
OC1CCOCC1O,1,20.0
OC1COCC(O)C1,1,20.0
OC1CCC(O)OC1,1,20.0
OCOCC(O)CO,1,20.0
COCOCC(C)O,1,20.0
OC1CCOC(O)C1,1,20.0
OC1CCCOC1O,1,20.0
COC1CCCCO1,1,20.0
COCOCCCO,1,20.0
COCCCC(C)O,1,20.0
CCC(O)CCOC,1,20.0
CCCC(O)COC,1,20.0
CCCCCOCC,1,20.0
COC(O)C(O)CO,1,20.0
COC(CCO)OC,1,20.0
COC(OC)C(C)O,1,20.0
CCCOC(C)OC,1,20.0
COCCOCOC,1,20.0
CCCCOCOC,1,20.0
OCC(O)CC(O)O,1,20.0
COCCC(O)CO,1,20.0
OCCC(O)C(O)O,1,20.0
COCC(O)CCO,1,20.0
COC(O)CCCO,1,20.0
CC(O)C(O)C(O)O,1,20.0
COCC(O)C(C)O,1,20.0
COC(O)CC(C)O,1,20.0
CCOCCC(C)O,1,20.0
CCC(O)C(O)OC,1,20.0
CCOCC(O)CC,1,20.0
CCCC(O)OCC,1,20.0
CCCCOC(C)C,1,20.0
CCCCOCCO,1,20.0
CCCCOCCC,1,20.0
CC(C)OCCCO,1,20.0
CCCOCCCO,1,20.0
CC(O)COC(C)C,1,20.0
CCCOCC(C)O,1,20.0
CCC(O)OC(C)C,1,20.0
CCCOC(O)CC,1,20.0
CCCOC(C)CO,1,20.0
CCCOC(C)CC,1,20.0
CCCOCCOC,1,20.0
CCCOC(O)CO,1,20.0
CCC(C)OCCO,1,20.0
COCCOCCO,1,20.0
CCC(C)OC(C)O,1,20.0
CC(O)COC(C)O,1,20.0
COCCOC(C)O,1,20.0
CC(O)OCCCO,1,20.0
CCCCOC(C)O,1,20.0
CCOC(C)C(C)O,1,20.0
CCOC(C)COC,1,20.0
CCOC(CC)CO,1,20.0
CCOC(CC)CC,1,20.0
CCOC(C)CCO,1,20.0
CCCC(C)OCC,1,20.0
CCOCC(C)OC,1,20.0
CCOCCOCC,1,20.0
CCOCCOCO,1,20.0
COCC(C)OCO,1,20.0
CCC(CC)OCO,1,20.0
CCCC(C)OCO,1,20.0
COC(C)COCO,1,20.0
OCOCCOCO,1,20.0
OCCCCOCO,1,20.0
CC(O)CCOCO,1,20.0
CCC(O)COCO,1,20.0
COC(C)C(C)OC,1,20.0
CCC(OC)C(C)O,1,20.0
COC1CCCOC1,1,20.0
COCC(CO)OC,1,20.0
CCCC(CC)OC,1,20.0
CCC(CCO)OC,1,20.0
COC(C)CCCO,1,20.0
COC(C)CC(C)O,1,20.0
CCC(O)C(C)OC,1,20.0
COCCCC(O)O,1,20.0
CC(O)C(O)C(O)CO,1,20.0
OCC1OCCCC1O,1,20.0
OCCC(O)C(O)CO,1,20.0
COC(CO)C(O)CO,1,20.0
CC(O)C(CO)OCO,1,20.0
OCC1CC(O)CCO1,1,20.0
OCC(O)CC(O)CO,1,20.0
OCC1CCC(O)CO1,1,20.0
OCC1CCCC(O)O1,1,20.0
OCCC(CO)OCO,1,20.0
CCC(CO)OCOC,1,20.0
OCCOC(CO)CO,1,20.0
CC(O)OC(CO)CO,1,20.0
COCOC(CO)CO,1,20.0
CC(CO)OC(O)CO,1,20.0
COC(C)OC(C)CO,1,20.0
CCOCOC(C)CO,1,20.0
CCC(O)C(O)CCO,1,20.0
CC(O)CC(O)CCO,1,20.0
OCCCC(O)CCO,1,20.0
CC(O)C(O)CCCO,1,20.0
OCCCCC(O)CO,1,20.0
COCCCCCCO,1,20.0
OCCOCC(O)CO,1,20.0
OCCOC(O)CCO,1,20.0
CC(O)C(O)OCCO,1,20.0
CCC(OC)OCCO,1,20.0
COC(CO)OCCO,1,20.0
CCOC(C)OCCO,1,20.0
CC(C)OCOCCO,1,20.0
OCCOCOCCO,1,20.0
CCCOCOCCO,1,20.0
CC1OCCC(O)C1O,1,20.0
CC1OCC(O)CC1O,1,20.0
CC1OC(O)CCC1O,1,20.0
CC(OCO)C(O)CO,1,20.0
COCOC(C)C(C)O,1,20.0
CC1CC(O)C(O)CO1,1,20.0
CC1CC(O)CC(O)O1,1,20.0
CC1CCC(O)C(O)O1,1,20.0
COC1CCCC(C)O1,1,20.0
COCOC(C)CCO,1,20.0
CCOCOC(C)CC,1,20.0
COC(CO)OC(C)C,1,20.0
CCOC(C)OC(C)C,1,20.0
CC(C)OCOC(C)C,1,20.0
CCCOCOC(C)C,1,20.0
CCC(O)C(O)C(C)O,1,20.0
CCC(O)CC(O)CO,1,20.0
CCC(O)CCCOC,1,20.0
CCCC(O)C(O)CO,1,20.0
CCCC(O)CCOC,1,20.0
CCCCC(O)COC,1,20.0
CCCCCCOCC,1,20.0
CCOC(O)C(O)CO,1,20.0
CCOC(CCO)OC,1,20.0
CCOC(OC)C(C)O,1,20.0
CCOC(CC)OCC,1,20.0
CCOC(CO)OCC,1,20.0
CCCOC(C)OCC,1,20.0
CCOCOCC(C)O,1,20.0
CCOCOCCOC,1,20.0
CCOCOCCCO,1,20.0
CCCCOCOCC,1,20.0
OC1COCC(O)C1O,1,20.0
OC1CC(O)C(O)CO1,1,20.0
OC1COC(O)C(O)C1,1,20.0
COC1CCC(O)CO1,1,20.0
COCOCC(O)CO,1,20.0
OC1CCOC(O)C1O,1,20.0
COC1CC(O)CCO1,1,20.0
COC1OCCCC1O,1,20.0
CCOC1CCCCO1,1,20.0
CCCOCOCCC,1,20.0
COCCC(O)C(C)O,1,20.0
COCC(O)CC(C)O,1,20.0
CCOCCCC(C)O,1,20.0
CCC(O)C(O)COC,1,20.0
CCOCCC(O)CC,1,20.0
CCCC(O)COCC,1,20.0
CCCCCOC(C)C,1,20.0
CCCCCOCCO,1,20.0
CCCCCOCCC,1,20.0
COC(OC)C(O)CO,1,20.0
CCC(OC)OC(C)C,1,20.0
CCCOC(CC)OC,1,20.0
CCCOC(CO)OC,1,20.0
CCC(C)OC(C)OC,1,20.0
COC(C)OCC(C)O,1,20.0
COCCOC(C)OC,1,20.0
COC(C)OCCCO,1,20.0
CCCCOC(C)OC,1,20.0
COCOC(C)COC,1,20.0
CCC(CC)OCOC,1,20.0
CCCC(C)OCOC,1,20.0
COCOCC(C)OC,1,20.0
CCOCCOCOC,1,20.0
COCOCCOCO,1,20.0
COCOCCCCO,1,20.0
COCOCCC(C)O,1,20.0
CCC(O)COCOC,1,20.0
OCC(O)C(O)C(O)O,1,20.0
COCC(O)C(O)CO,1,20.0
